Example of how the fragment geometries should be specified in the fragment files. The distances should be in Å. 

C	-1.96409726E+00	-2.30099595E-01	1.00000000E-20
C	-8.05376080E-01	1.53304002E-01	0.00000000E+00
C	5.03263946E-01	5.71142032E-01	-2.31466580E-08
H	-2.97469584E+00	-5.59997846E-01	-1.33070563E-08
C	1.65964684E+00	-3.69116243E-01	-1.00000000E-20
H	7.00098984E-01	1.63604359E+00	5.75648611E-08
H	2.29447235E+00	-2.11278569E-01	8.76915061E-01
H	1.32502672E+00	-1.40487073E+00	-7.09534557E-07
H	2.29447317E+00	-2.11277606E-01	-8.76914293E-01


